"year","bayes","non_bayes"
1750,127.636214137,156.90569
1751,117.853412361,136.28963
1752,106.046384567,109.31348
1753,109.461504225,123.73853
1754,86.9684931063,71.67914
1755,125.490366271,151.37955
1756,126.54727554,156.32579
1757,118.002746861,135.33273
1758,110.881592405,122.09145
1759,89.2187044,74.84521
1760,75.70426102,41.20901
1761,81.3799704442,58.89894
1762,82.6212322874,54.49867
1763,103.054380199,104.88339
1764,85.3664103134,64.71857
1765,106.43712758,111.71684
1766,86.2238009321,67.20042
1767,86.9360389466,71.57794
1768,109.59590787,122.33445
1769,100.33770387,99.65914
1770,83.5737922372,62.02937
1771,120.34098047,140.59004
1772,87.0180897827,71.41088
1773,87.2776330567,73.413
1774,57.2932413687,5.23034
1775,72.5923173673,39.93846
1776,122.219819272,149.70904
1777,117.846422912,135.12454
1778,104.814394822,109.18988
1779,139.130294572,185.60355
1780,123.017263399,150.04432
1781,104.046155637,109.15158
1782,114.105967102,124.31716
1783,107.164229311,114.73448
1784,83.2439460611,61.72917
1785,101.236398357,106.11731
1786,132.090701739,160.90773
1787,99.054521701,97.16862
1788,116.786113756,136.26896
1789,91.1376114266,75.46308
1790,98.7598812369,95.03505
1791,95.971542056,87.72815
1792,82.8639495666,60.39315
1793,111.279538165,119.27911
1794,111.019893939,124.89609
1795,116.312591805,131.77104
1796,127.080452479,156.59618
1797,122.020503567,146.11149
1798,113.890467642,128.86309
1799,93.4582453643,85.42391
1800,101.0370815,97.12683
1801,90.2528854626,76.91817
1802,112.036477968,126.87836
1803,106.513523587,112.39727
1804,93.0781106964,84.9236
1805,106.357423865,113.59168
1806,99.8177087801,94.70189
1807,95.7500271091,87.06999
1808,93.7582380652,85.60375
1809,94.5964121001,84.8819
1810,100.442328457,100.70792
1811,94.9836148036,86.93234
1812,89.7969794068,78.19664
1813,94.0004709555,87.19764
1814,109.958029568,121.38209
1815,106.004747846,110.84586
1816,101.363148402,100.29723
1817,108.411112004,117.66882
1818,102.37044095,101.20078
1819,90.0212230504,78.87351
1820,109.562186217,121.15909
1821,82.4479166721,57.31977
1822,93.7896653224,86.6173
1823,102.73503465,105.50666
1824,114.843907584,131.98415
1825,104.214757058,105.14769
1826,88.9453042588,75.3534
1827,109.647324911,115.54307
1828,109.954672502,117.55593
1829,97.272993221,96.53621
1830,107.098053856,115.86953
1831,103.994019525,108.90496
1832,106.765789846,114.37406
1833,116.630021181,133.46609
1834,107.871401263,114.19938
1835,106.077074559,111.93291
1836,103.152245043,104.10325
1837,95.8539322883,86.8494
1838,86.3685967361,70.35965
1839,89.3975746302,74.85694
1840,117.188378199,133.72053
1841,103.519952803,104.39504
1842,108.419630714,113.82079
1843,106.960888175,112.19769
1844,99.5838743205,100.01558
1845,86.6332731567,95.94245
1846,105.116344422,99.60143
1847,111.160206541,110.78191
1848,96.8968074511,108.04947
1849,103.108133014,128.01675
1850,86.3946444018,84.33027
1851,99.414643904,87.19121
1852,119.724893695,129.00438
1853,90.2180830965,88.07736
1854,103.028553939,85.26629
1855,135.753354319,80.82304
1856,105.084100765,96.22968
1857,97.9901728647,113.29066
1858,103.188437253,115.2099
1859,90.2813541788,96.12871
1860,103.372607346,119.03193
1861,101.508996932,106.17834
1862,107.49313015,106.28112
1863,114.955591444,101.73059
1864,102.319373539,116.00165
1865,98.6592749454,101.2873
1866,91.9335386862,94.78021
1867,81.5751047054,88.71056
1868,85.7306125275,75.58598
1869,94.4110091497,93.64148
1870,101.291984292,93.28896
1871,83.3656692838,87.47374
1872,104.557245205,62.60403
1873,95.2088598396,89.85017
1874,78.6785954383,61.32666
1875,118.876622025,120.04493
1876,118.423438937,129.94499
1877,98.5532350241,111.46682
1878,128.676711005,123.73418
1879,91.2631981279,71.67998
1880,96.1960042039,98.91047
1881,100.90158637,121.4224
1882,111.525872278,141.9136
1883,103.694067523,118.60891
1884,113.569063311,138.14456
1885,89.5635397714,89.08905
1886,117.913281577,120.22301
1887,100.767517359,100.01792
1888,100.522291859,115.2313
1889,136.359138488,137.67927
1890,98.9378034749,94.16176
1891,114.166021821,102.02605
1892,119.811546251,131.77174
1893,106.673563877,119.34859
1894,90.2285724766,82.98838
1895,93.1157947683,94.26358
1896,96.1694831825,110.18832
1897,94.3851588586,113.74184
1898,86.0336592383,75.3665
1899,97.3818231823,89.14545
1900,89.7659356803,75.80555
1901,98.9816188323,94.01463
1902,96.0892398083,93.88966
1903,108.764694133,120.39577
1904,114.779165542,127.29882
1905,98.7958538651,97.57559
1906,95.0040962448,86.15613
1907,116.245804607,132.58958
1908,112.071073396,124.52839
1909,120.231741548,139.4779
1910,117.669100692,135.28616
1911,72.527176764,39.51703
1912,90.3274931034,78.94142
1913,93.7959995367,82.91835
1914,63.4592827189,19.84516
1915,114.822616743,126.67492
1916,118.532794277,137.1027
1917,102.388199363,106.37836
1918,92.0383063202,84.12145
1919,110.826076518,123.93431
1920,106.808849888,111.43012
1921,99.5983405802,95.0865
1922,123.798779869,149.49919
1923,100.378825607,97.44477
1924,127.671570652,159.51205
1925,77.9999562695,50.76994
1926,87.5164121224,70.98187
1927,119.839859042,141.41237
1928,128.16484588,157.2955
1929,111.12697083,124.02374
1930,77.2581875102,49.07113
1931,83.8895574644,62.42368
1932,92.0567086307,78.07163
1933,75.591374714,43.93389
1934,84.2253913459,63.67842
1935,93.2364085161,82.86016
1936,79.6608023871,53.46982
1937,101.87574996,102.24144
1938,127.341249506,156.28743
1939,111.254543471,120.98909
1940,127.442249395,155.16088
1941,113.722095005,126.12469
1942,120.562292989,141.62328
1943,112.915839443,126.59004
1944,89.8746023848,77.82166
1945,97.2905684993,90.16939
1946,103.992120375,107.0881
1947,87.4691196818,71.8487
1948,102.047322188,102.32326
1949,121.224553502,145.10573
1950,134.900922033,173.5014
1951,129.248849478,159.00377
1952,107.208564553,112.85934
1953,115.222342618,129.38115
1954,85.4036512903,65.74812
1955,83.1417483006,63.05904
1956,93.745965915,83.02081
1957,104.137031998,107.88489
1958,110.315124519,119.72601
1959,90.7219314021,81.83666
1960,88.2416779161,70.99953
1961,103.063163895,104.08456
1962,101.272848042,95.25575
1963,84.4290584135,64.42133
1964,85.5816239569,65.08203
1965,100.054984872,99.08902
1966,74.1000517569,41.01138
1967,97.7202965625,92.09515
1968,97.9296259593,92.7323
1969,94.605812706,87.08439
1970,91.8714355265,82.02413
1971,113.755801699,129.79254
1972,125.852654847,154.71242
1973,123.959011013,156.76322
1974,122.950071607,147.37469
1975,120.190110652,141.53939
1976,122.462374872,143.38935
1977,96.9004560831,93.30077
1978,102.530862515,103.02367
1979,100.708101927,102.1993
1980,105.518481368,108.42012
1981,93.9941432945,85.70106
